efpdu8t,https://imgur.com/usj6zdO,t3_amxtng,"Tan, right up my nose 🤤",bluhrred,1549253730.0
efpevfs,https://imgur.com/usj6zdO,t3_amxtng,#4 if shooting your dope.,the_lizard_king7,1549254695.0
efpoc81,https://imgur.com/usj6zdO,t3_amxtng,"Very small lines! I’m so fucking jealous of your tolerance, my good friend. :’( ",schizoidparanoid,1549266275.0
efpfnrl,https://imgur.com/usj6zdO,t1_efpevfs,Hopefully I never shoot for now snorting and monkey water for me.,DegenerateDrugUse,1549255477.0
efpp90l,https://imgur.com/usj6zdO,t1_efpoc81,I can go a awhole 5 days without using its hell but worth it.,DegenerateDrugUse,1549267778.0
efrrukb,https://imgur.com/usj6zdO,t3_amxtng,Which do you like better?,Zildjian567,1549335829.0
efs9i86,https://imgur.com/usj6zdO,t1_efrrukb,Tan its always closer to real dope ime white stuffs good to but itd usually a fent analog which is alright. My dopes always cheap as dirt fent or mostly H 20 bags for like 90 all day cant beat it.,DegenerateDrugUse,1549356187.0
